MH687978.1 Betacoronavirus sp. strain VZ_BetaCoV_22084_6, complete genome
MT233522.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia7/human/2020/ESP, complete genome
MT233519.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia5/human/2020/ESP, complete genome
MN262644.1 Avian coronavirus strain CV10, complete genome
MN996532.1 Bat coronavirus RaTG13, complete genome
MT192773.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/nCoV-19-02S/human/2020/VNM, complete genome
MT192772.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/nCoV-19-01S/human/2020/VNM, complete genome
MT192765.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/PC00101P/human/2020/USA, complete genome
MN996531.1 Severe acute respiratory syndrome coronavirus 2 isolate WIV07, complete genome
MN996530.1 Severe acute respiratory syndrome coronavirus 2 isolate WIV06, complete genome
MN996529.1 Severe acute respiratory syndrome coronavirus 2 isolate WIV05, complete genome
MN996528.1 Severe acute respiratory syndrome coronavirus 2 isolate WIV04, complete genome
MN996527.1 Severe acute respiratory syndrome coronavirus 2 isolate WIV02, complete genome
MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
MT192759.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/CGMH-CGU-01/human2020/TWN, complete genome
MN690611.1 Bottlenose dolphin coronavirus strain 37112-4, complete genome
MN690610.1 Bottlenose dolphin coronavirus strain 37112-3, complete genome
MN690609.1 Bottlenose dolphin coronavirus strain 37112-2, complete genome
MN690608.1 Bottlenose dolphin coronavirus strain 37112-1, complete genome
KU973692.1 UNVERIFIED: SARS-related coronavirus isolate F46, complete genome
KY770851.1 Bat coronavirus isolate Anlong-57, complete genome
KY770860.1 Bat coronavirus isolate Jiyuan-84, complete genome
KY770859.1 Bat coronavirus isolate Anlong-112, complete genome
KY770858.1 Bat coronavirus isolate Anlong-103, complete genome
KY770850.1 Bat coronavirus isolate Anlong-43, complete genome
KF294380.2 Lucheng Rn rat coronavirus isolate Lucheng-19, complete genome
MT188341.1 Severe acute respiratory syndrome coronavirus 2 isolate USA/MN1-MDH1/2020, complete genome
MT188340.1 Severe acute respiratory syndrome coronavirus 2 isolate USA/MN2-MDH2/2020, complete genome
MT188339.1 Severe acute respiratory syndrome coronavirus 2 isolate USA/MN3-MDH3/2020, complete genome
MT123293.2 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/IQTC03/human/2020/CHN, complete genome
MT123292.2 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/IQTC04/human/2020/CHN, complete genome
MT123291.2 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/IQTC02/human/2020/CHN, complete genome
MT093631.2 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WH-09/human/2020/CHN, complete genome
NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
MT184913.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-26/2020, complete genome
MT184912.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-25/2020, complete genome
MT184911.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-24/2020, complete genome
MT184910.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-23/2020, complete genome
MT184909.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-22/2020, complete genome
MT184908.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-21/2020, complete genome
MT184907.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-19/2020, complete genome
LC529905.1 Severe acute respiratory syndrome coronavirus 2 TKYE6182_2020 RNA, complete genome
MT163719.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA7-UW4/human/2020/USA, complete genome
MT163718.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA6-UW3/human/2020/USA, complete genome
MT163717.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA4-UW2/human/2020/USA, complete genome
MT163716.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA3-UW1/human/2020/USA, complete genome
MT159722.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-6/2020, complete genome
MT159721.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-5/2020, complete genome
MT159720.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-4/2020, complete genome
MT159719.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-3/2020, complete genome
MT159718.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-2/2020, complete genome
MT159717.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-1/2020, complete genome
MT159716.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-18/2020, complete genome
MT159715.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-17/2020, complete genome
MT159714.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-16/2020, complete genome
MT159713.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-15/2020, complete genome
MT159712.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-14/2020, complete genome
MT159711.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-13/2020, complete genome
MT159710.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-9/2020, complete genome
MT159709.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-12/2020, complete genome
MT159708.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-11/2020, complete genome
MT159707.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-10/2020, complete genome
MT159706.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-8/2020, complete genome
MT159705.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-7/2020, complete genome
MT121215.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/SH01/human/2020/CHN, complete genome
MT066156.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/INMI1/human/2020/ITA, complete genome
MT050493.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/166/human/2020/IND, complete genome
MT012098.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/29/human/2020/IND, complete genome
MH025764.1 Porcine deltacoronavirus strain CH/JXJGS01/P50, complete genome
MH025763.1 Porcine deltacoronavirus strain CH/JXJGS01/P20, complete genome
MH025762.1 Porcine deltacoronavirus strain CH/JXJGS01/P7, complete genome
MT152824.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA2/human/2020/USA, complete genome
MT135044.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/235/human/2020/CHN, complete genome
MT135043.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/233/human/2020/CHN, complete genome
MT135042.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/231/human/2020/CHN, complete genome
MT135041.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/105/human/2020/CHN, complete genome
MK994937.1 Swine acute diarrhea syndrome coronavirus isolate SADS-CoV/GDWT-P83, complete genome
MK994936.1 Swine acute diarrhea syndrome coronavirus isolate SADS-CoV/GDWT-P48, complete genome
MK994935.1 Swine acute diarrhea syndrome coronavirus isolate SADS-CoV/GDWT-P18, complete genome
MK994934.1 Swine acute diarrhea syndrome coronavirus isolate SADS-CoV/GDWT-P7, complete genome
MT126808.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/SP02/human/2020/BRA, complete genome
MH002342.1 Pipistrellus bat coronavirus HKU5 isolate YD13403, complete genome
MH002341.1 Pipistrellus bat coronavirus HKU5 isolate BY140562, complete genome
MH002340.1 Pipistrellus bat coronavirus HKU5 isolate BY140535, complete genome
MH002339.1 Tylonycteris bat coronavirus HKU4 isolate SZ140324, complete genome
MH002338.1 Tylonycteris bat coronavirus HKU4 isolate CZ07, complete genome
MH002337.1 Tylonycteris bat coronavirus HKU4 isolate CZ01, complete genome
LC528233.1 Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/DP/Kng/19-027 RNA, complete genome
LC528232.1 Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/DP/Kng/19-020 RNA, complete genome
MT123290.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/IQTC01/human/2020/CHN, complete genome
MK334047.1 Human coronavirus NL63 strain ChinaGD04, complete genome
MK334046.1 Human coronavirus NL63 strain ChinaGD01, complete genome
MK334045.1 Human coronavirus NL63 strain ChinaGD05, complete genome
MK334044.1 Human coronavirus NL63 strain ChinaGD03, complete genome
MK334043.1 Human coronavirus NL63 strain ChinaGD02, complete genome
MT118835.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA9/2020, complete genome
MT106054.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-TX1/2020, complete genome
MT106053.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA8/2020, complete genome
MT106052.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA7/2020, complete genome
MG987421.1 Middle East respiratory syndrome-related coronavirus isolate NL140455, complete genome
MG987420.1 Middle East respiratory syndrome-related coronavirus isolate NL13892, complete genome
MT093571.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/01/human/2020/SWE, complete genome
MN369046.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC9724/2018, complete genome
MN310478.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC0776/2019, complete genome
MN310476.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC9428/2018, complete genome
MN306053.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC9430/2018, complete genome
MN306046.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC0865/2019, complete genome
MN306043.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC0841/2019, complete genome
MN306042.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC0839/2019, complete genome
MN306041.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC0810/2019, complete genome
MN306040.1 Human coronavirus NL63 strain HCoV_NL63/Seattle/USA/SC0768/2019, complete genome
MN306036.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC0682/2019, complete genome
MN306018.1 Human coronavirus NL63 strain HCoV_NL63/Seattle/USA/SC0179/2018, complete genome
KY983588.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC3118/2015, complete genome
KY983587.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC3112/2015, complete genome
KY983586.1 Human coronavirus NL63 strain HCoV_NL63/Seattle/USA/SC2940/2015, complete genome
KY983585.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2854/2015, complete genome
KY983583.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2481/2015, complete genome
KY967361.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2345/2015, complete genome
KY967360.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2476/2015, complete genome
KY967359.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2730/2015, complete genome
KY967358.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2770/2015, complete genome
KY967357.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC2872/2015, complete genome
KY967356.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2924/2015, complete genome
KY621348.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC379/2016, complete genome
KY674914.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC399/2016, complete genome
KY684760.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC2282/2017, complete genome
KY684759.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2269/2016, complete genome
KY369909.2 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC677/2016, complete genome
KY369907.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC9741/2016, complete genome
KY369906.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC622/2016, complete genome
KY369905.1 Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC831/2016, complete genome
KY369914.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC9773/2016, complete genome
KY369913.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC1073/2016, complete genome
KY369912.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC9731/2016, complete genome
KY369911.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC1212/2016, complete genome
KY369910.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC1143/2016, complete genome
KY369908.1 Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC579/2016, complete genome
MK581208.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/G225/2017, complete genome
MK581207.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/G103/2016, complete genome
MK581206.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/195/2012, complete genome
MK581205.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/548/2004, complete genome
MK581204.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/255/1997, complete genome
MK581203.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/162/1997, complete genome
MK581202.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/80/1989, complete genome
MK581201.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/79/1989, complete genome
MK581200.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/78/1989, complete genome
KT886454.1 Infectious bronchitis virus isolate gammaCoV/Ck/Poland/74/2009, complete genome
MT072688.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS0CoV-2/61-TW/human/2020/ NPL, complete genome
MT066176.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NTU02/2020/TWN, complete genome
MT066175.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NTU01/2020/TWN, complete genome
MT049951.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Yunnan-01/human/2020/CHN, complete genome
MT044258.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA6/2020, complete genome
MT044257.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-IL2/2020, complete genome
MT039888.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-MA1/2020, complete genome
MT039887.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-WI1/2020, complete genome
MT039890.1 Severe acute respiratory syndrome coronavirus 2 isolate SNU01, complete genome
MT039873.1 Severe acute respiratory syndrome coronavirus 2 isolate HZ-1, complete genome
MT027064.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA5/2020, complete genome
MT027063.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA4/2020, complete genome
MT027062.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA3/2020, complete genome
MT020881.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-WA1-F6/2020, complete genome
MT020880.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-WA1-A12/2020, complete genome
MT019533.1 Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-05/2020, complete genome
MT019532.1 Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-04/2019, complete genome
MT019531.1 Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-03/2019, complete genome
MT019530.1 Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-02/2019, complete genome
MT019529.1 Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-01/2019, complete genome
MT007544.1 Severe acute respiratory syndrome coronavirus 2 isolate Australia/VIC01/2020, complete genome
MN997409.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-AZ1/2020, complete genome
MN994468.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA2/2020, complete genome
MN994467.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA1/2020, complete genome
MN988713.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-IL1/2020, complete genome
MN988669.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV WHU02, complete genome
MN988668.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV WHU01, complete genome
MN975262.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-005b_2020, complete genome
MN938384.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-002a_2020, complete genome
MN486588.1 Porcine epidemic diarrhea virus strain Ah2016f2, complete genome
MN315264.1 Porcine epidemic diarrhea virus strain AH-2018-HF1, complete genome
LC494178.1 Bovine coronavirus TCG-19 RNA, complete genome
LC494177.1 Bovine coronavirus TCG-9 RNA, complete genome
LC494176.1 Bovine coronavirus TCG-17 RNA, complete genome
LC494175.1 Bovine coronavirus TCG-18 RNA, complete genome
LC494174.1 Bovine coronavirus TCG-8 RNA, complete genome
LC494173.1 Bovine coronavirus TCG-7 RNA, complete genome
LC494172.1 Bovine coronavirus TCG-6 RNA, complete genome
LC494171.1 Bovine coronavirus TCG-16 RNA, complete genome
